alt (Kft),alt (m),temp ®,temp (K),press (psf),press (psi),press (atm),press (kpa),dens (s/cu.ft),dens (kg/cu.m),
-1,-304.8,522.2,290.1111111,2193.8,15.23472222,1.036664799,105.0400608,0.0024472,1.261235043,
0,0,518.7,288.1666667,2116.2,14.69583333,0.999995464,101.3245403,0.0023769,1.225003913,
1,304.8,515.1,286.1666667,2040.9,14.17291667,0.964412977,97.71914488,0.0023081,1.18954585,
2,609.6,511.5,284.1666667,1967.7,13.66458333,0.92982283,94.21429829,0.0022409,1.154912393,
3,914.4,508,282.2222222,1896.7,13.17152778,0.896272279,90.81478862,0.0021752,1.121052005,
4,1219.2,504.4,280.2222222,1827.7,12.69236111,0.863666813,87.51103979,0.0021109,1.087913147,
5,1524,500.8,278.2222222,1760.9,12.22847222,0.832100941,84.31262787,0.0020482,1.055598895,
6,1828.8,497.3,276.2777778,1696,11.77777778,0.801432902,81.20518875,0.0019869,1.024006173,
7,2133.6,493.7,274.2777778,1633.1,11.34097222,0.771709948,78.19351046,0.001927,0.993134982,
8,2438.4,490.2,272.3333333,1572.1,10.91736111,0.742884826,75.27280497,0.0018685,0.962985321,
9,2743.2,486.6,270.3333333,1512.9,10.50625,0.714910281,72.43828423,0.0018113,0.933505653,
10,3048,483,268.3333333,1455.6,10.10833333,0.687833568,69.69473629,0.0017555,0.904747515,
11,3352.8,479.5,266.3888889,1400.1,9.722916667,0.661607432,67.03737309,0.0017011,0.876710907,
12,3657.6,475.9,264.3888889,1346.2,9.348611111,0.636137366,64.45661857,0.001648,0.849344292,
13,3962.4,472.3,262.3888889,1294.1,8.986805556,0.611517876,61.9620488,0.0015961,0.822596131,
14,4267.2,468.8,260.4444444,1243.6,8.636111111,0.587654455,59.54408769,0.0015455,0.796517963,
15,4572,465.2,258.4444444,1194.8,8.297222222,0.564594358,57.2075233,0.0014962,0.771109787,
16,4876.8,461.7,256.5,1147.5,7.96875,0.542243075,54.94277953,0.001448,0.746268528,
17,5181.6,458.1,254.5,1101.7,7.650694444,0.520600606,52.74985639,0.0014011,0.722097262,
18,5486.4,454.5,252.5,1057.5,7.34375,0.499714206,50.63354192,0.0013553,0.698492912,
19,5791.2,451,250.5555556,1014.7,7.046527778,0.479489366,48.58426004,0.0013107,0.675507017,
20,6096,447.4,248.5555556,973.3,6.759027778,0.459926087,46.60201074,0.0012673,0.653139576,
21,6400.8,443.9,246.6111111,933.3,6.48125,0.441024367,44.68679402,0.0012249,0.631287514,
22,6705.6,440.3,244.6111111,894.6,6.2125,0.422736954,42.83382185,0.0011836,0.610002369,
23,7010.4,436.7,242.6111111,857.2,5.952777778,0.405063846,41.04309422,0.0011435,0.589335678,
24,7315.2,433.2,240.6666667,821.2,5.702777778,0.388052299,39.31939917,0.0011043,0.569132829,
25,7620,429.6,238.6666667,786.3,5.460416667,0.371560549,37.64837259,0.0010663,0.549548434,
26,7924.8,426.1,236.7222222,752.7,5.227083333,0.355683104,36.03959055,0.0010292,0.530427879,
27,8229.6,422.5,234.7222222,720.3,5.002083333,0.340372712,34.48826501,0.0009931,0.511822704,
28,8534.4,419,232.7777778,689,4.784722222,0.325582116,32.98960793,0.000958,0.493732908,
29,8839.2,415.4,230.7777778,658.8,4.575,0.311311318,31.54361931,0.0009239,0.47615849,
30,9144,411.8,228.7777778,629.7,4.372916667,0.297560317,30.15029915,0.0008907,0.459047913,
31,9448.8,408.3,226.8333333,601.6,4.177777778,0.284281859,28.80485941,0.0008584,0.442401177,
32,9753.6,404.7,224.8333333,574.6,3.990277778,0.271523199,27.51208812,0.000827,0.426218282,
33,10058.4,401.2,222.8888889,548.5,3.809027778,0.259189827,26.26240922,0.0007966,0.410550766,
34,10363.2,397.6,220.8888889,523.5,3.635416667,0.247376252,25.06539877,0.000767,0.395295553,
35,10668,394.1,218.9444444,499.3,3.467361111,0.235940712,23.90669265,0.0007382,0.380452643,
36,10972.8,390.5,216.9444444,476.1,3.30625,0.224977715,22.79586696,0.0007103,0.366073574,
37,11277.6,390,216.6666667,453.9,3.152083333,0.214487261,21.73292168,0.000678,0.349426839,
38,11582.4,390,216.6666667,432.6,3.004166667,0.204422095,20.71306878,0.0006463,0.33308933,
39,11887.2,390,216.6666667,412.4,2.863888889,0.194876727,19.74588434,0.0006161,0.31752489,
40,12192,390,216.6666667,393.1,2.729861111,0.185756647,18.82179227,0.0005873,0.30268198,
41,12496.8,390,216.6666667,374.7,2.602083333,0.177061856,17.94079259,0.0005598,0.288509062,
42,12801.6,390,216.6666667,357.2,2.480555556,0.168792354,17.10288527,0.0005336,0.275006137,
43,13106.4,390,216.6666667,340.5,2.364583333,0.160900886,16.30328229,0.0005087,0.262173205,
44,13411.2,390,216.6666667,324.6,2.254166667,0.153387453,15.54198365,0.0004849,0.249907189,
45,13716,390,216.6666667,309.4,2.148611111,0.146204799,14.8142013,0.0004623,0.238259628,
46,14020.8,390,216.6666667,295,2.048611111,0.13940018,14.12472328,0.0004407,0.227127445,
47,14325.6,390,216.6666667,281.2,1.952777778,0.132879087,13.46397351,0.0004201,0.216510641,
48,14630.4,390,216.6666667,268.1,1.861805556,0.126688774,12.83674004,0.0004005,0.206409217,
49,14935.2,390,216.6666667,255.5,1.774305556,0.120734733,12.23344677,0.0003817,0.196720095,
50,15240,390,216.6666667,243.6,1.691666667,0.115111471,11.6636698,0.0003639,0.187546352,
51,15544.8,390,216.6666667,232.2,1.6125,0.109724481,11.11783304,0.0003469,0.178784912,
52,15849.6,390,216.6666667,221.4,1.5375,0.104621017,10.60072452,0.0003307,0.170435775,
53,16154.4,390,216.6666667,211,1.465277778,0.09970657,10.10276818,0.0003153,0.162498941,
54,16459.2,390,216.6666667,201.2,1.397222222,0.095075648,9.63354008,0.0003006,0.154922873,
55,16764,390,216.6666667,191.8,1.331944444,0.090633744,9.183464152,0.0002865,0.147656031,
56,17068.8,390,216.6666667,182.8,1.269444444,0.086380858,8.752540391,0.0002731,0.140749955,
57,17373.6,390,216.6666667,174.3,1.210416667,0.082364242,8.345556839,0.0002604,0.134204644,
58,17678.4,390,216.6666667,166.2,1.154166667,0.078536644,7.957725454,0.0002482,0.127917023,
59,17983.2,390,216.6666667,158.4,1.1,0.074850809,7.584258194,0.0002367,0.121990166,
60,18288,390,216.6666667,151,1.048611111,0.071353991,7.229943102,0.0002256,0.116269461,
61,18592.8,390,216.6666667,144,1,0.06804619,6.894780177,0.0002151,0.110857984,
62,18897.6,390,216.6666667,137.3,0.953472222,0.064880152,6.573981377,0.000205,0.105652658,
63,19202.4,390,216.6666667,130.9,0.909027778,0.061855877,6.267546702,0.0001955,0.100756559,
64,19507.2,390,216.6666667,124.8,0.866666667,0.058973364,5.975476153,0.0001864,0.096066612,
65,19812,390,216.6666667,118.9,0.825694444,0.056185361,5.692981688,0.0001777,0.091582816,
70,21336,392.2,217.8888889,9.37E+01,0.650902778,0.044291454,4.487831569,1.39E-04,0.071740731,
75,22860,395,219.4444444,7.40E+01,0.513819444,0.034963455,3.54267212,1.09E-04,0.056227829,
80,24384,397.7,220.9444444,5.85E+01,0.406319444,0.02764849,2.801483251,8.57E-05,0.044173118,
85,25908,400.4,222.4444444,4.64E+01,0.321875,0.021902367,2.219257369,6.74E-05,0.034751994,
90,27432,403.1,223.9444444,3.68E+01,0.255416667,0.017380131,1.76104177,5.32E-05,0.027392384,
95,28956,405.9,225.5,2.92E+01,0.202986111,0.013812431,1.399544615,4.20E-05,0.021625295,
100,30480,408.6,227,2.33E+01,0.161597222,0.010996075,1.114177324,3.32E-05,0.017100269,
105,32004,411.3,228.5,1.86E+01,0.128888889,0.008770398,0.888660556,2.63E-05,0.013544155,
110,33528,418.4,232.4444444,1.48E+01,0.103055556,0.007012538,0.710545402,2.07E-05,0.010647726,
115,35052,426,236.6666667,1.19E+01,0.082708333,0.005627987,0.570255777,1.63E-05,0.008395521,
120,36576,433.6,240.8888889,9.60E+00,0.066673611,0.004536885,0.459699892,1.29E-05,0.006648387,
125,38100,441.2,245.1111111,7.77E+00,0.053944444,0.003670714,0.371935086,1.03E-05,0.005287787,
130,39624,448.8,249.3333333,6.31E+00,0.0438125,0.002981274,0.302077556,8.19E-06,0.004220953,
135,41148,456.3,253.5,5.14E+00,0.035708333,0.002429816,0.246201109,6.57E-06,0.003383462,
140,42672,463.9,257.7222222,4.21E+00,0.029208333,0.001987516,0.201385038,5.28E-06,0.002721716,
145,44196,471.5,261.9444444,3.45E+00,0.023972222,0.001631218,0.165283203,4.26E-06,0.002197575,
150,45720,479.1,266.1666667,2.84E+00,0.019736111,0.001342967,0.136076148,3.46E-06,0.001780634,
155,47244,486.6,270.3333333,2.35E+00,0.016298611,0.001109058,0.112375341,2.81E-06,0.001447699,
160,48768,487.2,270.6666667,1.94E+00,0.013486111,0.000917678,0.092983772,2.32E-06,0.00119671,
165,50292,487.2,270.6666667,1.61E+00,0.011159722,0.000759377,0.076943832,1.92E-06,0.000990043,
170,51816,485.2,269.5555556,1.33E+00,0.009229167,0.00062801,0.063633075,1.60E-06,0.000822545,
175,53340,477.6,265.3333333,1.10E+00,0.007625,0.000518852,0.052572699,1.34E-06,0.000690092,
180,54864,470.1,261.1666667,9.04E-01,0.006275694,0.000427037,0.043269534,1.12E-06,0.000577224,
185,56388,462.5,256.9444444,7.42E-01,0.005150694,0.000350485,0.035512906,9.34E-07,0.000481518,
190,57912,455,252.7777778,6.07E-01,0.004214583,0.000286786,0.029058626,7.77E-07,0.000400501,
195,59436,447.4,248.5555556,4.95E-01,0.003436806,0.000233862,0.023696019,6.44E-07,0.00033211,
200,60960,439.9,244.3888889,4.02E-01,0.00279375,0.000190104,0.019262292,5.33E-07,0.000274542,
205,62484,432.4,240.2222222,3.26E-01,0.0022625,0.000153955,0.01559944,4.39E-07,0.000226251,
210,64008,424.8,236,2.63E-01,0.001825694,0.000124232,0.012587762,3.61E-07,0.000185846,
215,65532,417.3,231.8333333,2.11E-01,0.001468056,9.98956E-05,0.01012192,2.95E-07,0.000152088,
220,67056,409.8,227.6666667,1.69E-01,0.001175694,8.00015E-05,0.008106155,2.41E-07,0.000124052,
225,68580,402.2,223.4444444,1.35E-01,0.000938194,6.38406E-05,0.006468644,1.96E-07,0.000100808,
230,70104,394.7,219.2777778,1.07E-01,0.000745139,5.07039E-05,0.005137569,1.58E-07,8.1636E-05,
235,71628,387.2,215.1111111,8.49E-02,0.000589444,4.01094E-05,0.00406409,1.28E-07,6.58139E-05,
240,73152,381.6,212,6.69E-02,0.000464375,3.15989E-05,0.003201764,1.02E-07,5.26202E-05,
245,74676,376.3,209.0555556,5.25E-02,0.000364722,2.4818E-05,0.00251468,8.13E-08,4.19055E-05,
250,76200,370.9,206.0555556,4.11E-02,0.000285417,1.94215E-05,0.001967885,6.46E-08,3.32729E-05,
255,77724,365.5,203.0555556,3.21E-02,0.000222639,1.51497E-05,0.001535046,5.11E-08,2.63307E-05,
260,79248,360.2,200.1111111,2.49E-02,0.000173056,1.17758E-05,0.00119318,4.03E-08,2.07698E-05,
265,80772,354.8,197.1111111,1.93E-02,0.000134028,9.12008E-06,0.000924092,3.17E-08,1.63272E-05,
270,82296,349.5,194.1666667,1.49E-02,0.000103403,7.03617E-06,0.000712939,2.48E-08,1.27865E-05,
275,83820,344.1,191.1666667,1.14E-02,7.94444E-05,5.40589E-06,0.000547752,1.94E-08,9.98289E-06,
280,85344,338.8,188.2222222,8.76E-03,6.08125E-05,4.13806E-06,0.000419289,1.51E-08,7.7616E-06,
